symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PSEN1	0.8681178963149172	No data	No data	0.9428172958308643	0.9549947196932794	No data	0.607930797611621	0.995616706305514	0.607930797611621	No data	No data	No data	No data	No data	0.6432229884302734	No data	No data	No data	No data	No data	0.4559480982087158	0.39759683457189393	0.04988096311450684	0.552162434762385	0.75	0	0	1	1	0	0.6359749999999998	1	-0.7305688685142738	-0.9789936491177303	0	No data	No data	-0.04175500000000003	-1	-1
APP	0.8495671982950335	0.5822169821831934	No data	0.9301298000010562	0.607930797611621	No data	0.607930797611621	0.9607983220922475	0.607930797611621	No data	No data	No data	No data	No data	0.9129282017778076	No data	No data	No data	No data	0.607930797611621	No data	0.45003439774533743	No data	0.44566562424577927	1	0	1	1	1	1	0.8311700000000002	No data	-0.6030423004792664	-0.8981914372693778	0	No data	No data	0	-1	-1
PSEN2	0.7071445432744302	No data	No data	0.8803664089433767	0.6839221473130737	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	0.6432229884302734	No data	No data	No data	No data	No data	No data	0.29840455610092137	No data	No data	0.75	0	0	1	1	0	0.7991050000000002	No data	-0.20275057303604915	-0.7753266547307177	0	No data	No data	-0.10714250000000014	-1	-1
GRIN1	0.6880849383889996	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9864480366647087	0.5815977542462042	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.9520249999999997	No data	-0.7442175453219421	-0.9386502324994186	0	-1	No data	0	1	0.5
CDK5	0.6679894276514395	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5815971270495844	No data	No data	No data	0.9513974960387728	No data	No data	0.08977986793197987	No data	0.75	1	0	1	1	0	0.9828749999999999	1	-0.41998332986038756	-0.7026084872829225	0	No data	No data	-0.03253500000000002	0.5	-1
SORL1	0.6634867125430397	0.8386583663696258	0.39314961120901953	0.31612401475804297	0.3039653988058105	No data	0.3039653988058105	0.4137306817079088	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.36985289511714	0.04768036208430157	0.6085990993148289	No data	1	1	0	0	0	0.6612450000000003	No data	-0.5793915399041467	-0.830337412348568	0	No data	No data	0	-1	-1
ADAM10	0.6514626186320907	0.6506975702650521	No data	0.381307705835289	No data	No data	No data	0.865457038266544	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07554891117652418	0.02040312242200407	No data	No data	1	0	1	1	0	0.8061500000000003	0	-0.9685351114815587	-0.8651734558368109	0	No data	No data	0	-1	-1
APOE	0.6350711457211572	0.7108254075036551	No data	0.8237928135612166	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.26700204627896834	No data	No data	No data	No data	No data	0.8983868359586724	0.017251532679053088	0.26900937794314234	No data	0	1	0	0	0	0	No data	0.1554490518858096	-0.9832350084989555	0	-1	No data	0	0.75	-1
ACHE	0.6177717482337637	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9965785783008033	No data	No data	No data	No data	No data	No data	0.3921807643743266	No data	No data	1	0	0	1	1	1	0.4218249999999998	0	-0.8797666180454261	-0.9157987311272503	0	-1	No data	0	0.75	0
HMGCR	0.6102257281794294	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7833243659803374	0.8055170742702947	No data	No data	No data	No data	No data	0.10393927942498687	0.009364719397570819	No data	1	0	0	1	1	1	0.6734250000000003	1	-0.8118357991248177	-0.30744733073070546	-1	-1	No data	No data	0.5	-1
